"mantini 66","Mantini 66 column order",Label,"Hagman 66",,
,,,,,
1,"Entorhinal cortex",rENT,5,"right hemisphere",
2,"Parahippocampal cortex",rPARH,17,,
3,"Temporal pole",rTP,32,,
4,"Frontal pole",rFP,6,,
5,"Fusiform gyrus",rFUS,7,,
6,"Transverse temporal cortex",rTT,33,,
7,"Lateral occipital cortex",rLOCC,11,,
8,"Superior temporal cortex",rSP,29,,
9,"Inferior temporal cortex",rIT,9,,
10,"Inferior parietal cortex",rIP,8,,
11,"Supramarginal gyrus",rSMAR,31,,
12,"Bank of the superior temporal sulcus",rBSTS,1,,
13,"Middle temporal cortex",rMT,15,,
14,"Superior temporal cortex",rST,30,,
15,"Postcentral gyrus",rPSTC,22,,
16,"Precentral gyrus",rPREC,24,,
17,"Caudal middle frontal cortex",rCMF,3,,
18,"Pars opercularis",rPOPE,18,,
19,"Pars triangularis",rPTRI,20,,
20,"Rostral middle frontal cortex",rRMF,27,,
21,"Pars orbitalis",rPORB,19,,
22,"Lateral orbitofrontal cortex",rLOF,12,,
23,"Caudal anterior cingulate cortex",rCAC,2,,
24,"Rostral anterior cingulate cortex",rRAC,26,,
25,"Superior frontal cortex",rSF,28,,
26,"Medial orbitofrontal cortex",rMOF,14,,
27,"Lingual gyrus",rLING,13,,
28,"Pericalcarine cortex",rPCAL,21,,
29,Cuneus,rCUN,4,,
30,"Paracentral lobule",rPARC,16,,
31,"Isthmus of the cingulate cortex",rISTC,10,,
32,"Precuneus ",rPCUN,25,,
33,"Posterior cingulate cortex",rPC,23,"left hemisphere",
34,"Posterior cingulate cortex",lPC,56,,
35,Precuneus,lPCUN,58,,
36,"Isthmus of the cingulate cortex",lISTS,43,,
37,"Paracentral lobule",lPARC,49,,
38,Cuneus,lCUN,37,,
39,"Pericalcarine cortex",lPCAL,54,,
40,"Lingual gyrus",lLING,46,,
41,"Medial orbitofrontal cortex",lMOF,47,,
42,"Superior frontal cortex",lSF,61,,
43,"Rostral anterior cingulate cortex",lRAC,59,,
44,"Caudal anterior cingulate cortex",lCAC,35,,
45,"Lateral orbitofrontal cortex",lLOF,45,,
46,"Pars orbitalis",lPORB,52,,
47,"Rostral middle frontal cortex",lRMF,60,,
48,"Pars triangularis",lPTRI,53,,
49,"Pars opercularis",lPOPE,51,,
50,"Caudal middle frontal cortex",lCMF,36,,
51,"Precentral gyrus",lPREC,57,,
52,"Postcentral gyrus",lPSTC,55,,
53,"Superior temporal cortex",lST,63,,
54,"Middle temporal cortex",lMT,48,,
55,"Bank of the superior temporal sulcus",lBSTS,34,,
56,"Supramarginal gyrus",lSMAR,64,,
57,"Inferior parietal cortex",lIP,41,,
58,"Inferior temporal cortex",lIT,42,,
59,"Superior parietal cortex",llSP,62,,
60,"Lateral occipital cortex",lLOCC,44,,
61,"Transverse temporal cortex",lTT,66,,
62,"Fusiform gyrus",lFUS,40,,
63,"Frontal pole",lFP,39,,
64,"Temporal pole",lTP,65,,
65,"Parahippocampal cortex",lPARH,50,,
66,"Entorhinal cortex",lENT,38,,
